Player,Nation,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,Dribbles,Shots,Fouls,Def,GCA,GCA90
João Virgínia\Joao-Virginia,pt POR,GK,Everton,0.5,0,0,0,0,0,0,0,0,0,0
Vitinha\Vitinha,pt POR,MF,Wolves,5.8,21,3.63,17,2,1,1,0,0,1,0.17
Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,0.7,3,4.09,3,0,0,0,0,0,0,0
Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,15.2,37,2.43,20,0,11,3,2,1,6,0.39
Theo Walcott\Theo-Walcott,eng ENG,MFFW,Southampton,18,28,1.56,22,0,2,2,2,0,4,0.22
Theo Walcott\Theo-Walcott,eng ENG,FW,Everton,0.1,0,0,0,0,0,0,0,0,0,0
Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,21.6,28,1.29,23,4,0,0,1,0,5,0.23
Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,29.4,42,1.43,33,0,3,1,2,3,7,0.24
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,34,57,1.68,50,1,2,1,0,3,8,0.24
Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,25.1,15,0.6,14,1,0,0,0,0,2,0.08
James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,38,84,2.21,39,41,0,2,2,0,11,0.29
Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,37,98,2.65,74,0,4,11,5,4,14,0.38
Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,0.4,1,2.31,0,0,0,0,1,0,0,0
Adam Webster\Adam-Webster,eng ENG,DF,Brighton,28.8,20,0.69,18,0,0,1,1,0,1,0.03
Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,17.2,50,2.91,34,0,3,7,6,0,5,0.29
Timo Werner\Timo-Werner,de GER,FW,Chelsea,28.9,85,2.94,56,0,6,9,13,1,19,0.66
Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,37.9,84,2.22,59,21,1,0,1,2,5,0.13
Ben White\Ben-White,eng ENG,DFMF,Brighton,35.5,26,0.73,22,0,1,0,1,2,3,0.08
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,32.7,53,1.62,46,0,2,2,3,0,2,0.06
Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,2.1,1,0.48,1,0,0,0,0,0,0,0
Neco Williams\Neco-Williams,wls WAL,DF,Liverpool,2.8,4,1.45,4,0,0,0,0,0,0,0
Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,7.3,5,0.68,4,0,0,1,0,0,1,0.14
Willian\Willian,br BRA,FWMF,Arsenal,15.6,60,3.84,37,12,2,4,5,0,11,0.7
Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,2.6,7,2.65,7,0,0,0,0,0,0,0
Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,10.9,27,2.48,17,0,3,3,3,1,3,0.28
Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,23.2,52,2.25,29,0,5,2,15,1,11,0.48
Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,9.6,8,0.84,6,0,1,0,0,1,0,0
Chris Wood\Chris-Wood,nz NZL,FW,Burnley,30.5,47,1.54,37,0,4,2,2,2,8,0.26
Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,28,40,1.43,36,0,0,2,2,0,3,0.11
Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,4.2,13,3.12,10,1,0,1,1,0,1,0.24
DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,4.8,6,1.24,4,1,0,0,1,0,0,0
Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,14.6,11,0.75,7,0,0,1,3,0,2,0.14
Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,29,85,2.93,48,0,16,5,14,2,12,0.41
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,28.7,57,1.98,43,0,8,2,3,1,6,0.21
Andi Zeqiri\Andi-Zeqiri,ch SUI,FWDF,Brighton,1.9,4,2.11,3,0,1,0,0,0,1,0.53
Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,16.4,30,1.83,23,4,0,1,1,1,2,0.12
Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,13,70,5.38,53,7,3,6,1,0,7,0.54
Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,22.5,11,0.49,8,0,0,3,0,0,0,0
Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,9.6,42,4.36,34,4,1,1,2,0,6,0.62
